"date","Pixel15960465","Pixel15990469","Pixel15990468","Pixel15990466","Pixel15990467","Pixel15810469","Pixel15930471","Pixel15900471","Pixel15840470","Pixel15960471","Pixel15900470","Pixel15870470","Pixel15930470","Pixel15930469","Pixel15930467","Pixel15900467","Pixel15930468","Pixel15960468","Pixel15960469","Pixel15960470","Pixel15810467","Pixel15840469","Pixel15840465","Pixel15870466","Pixel15870465","Pixel15840466","Pixel15930466","Pixel15930465","Pixel15960466","Pixel15900468","Pixel15960467","Pixel15840467","Pixel15840468","Pixel15810465","Pixel15810466","Pixel15870467","Pixel15870468","Pixel15900469","Pixel15870469","Pixel15900466","Pixel15780468","Pixel15810468"
"21-Mar-00",1.964722752,1.37269584,2.216893128,2.966481696,2.992955976,0.871947264,1.215979272,1.817203584,0.900963744,1.670258592,1.392126384,1.007370384,0.413692152,0.389741112,1.94851344,1.936977264,1.568594088,1.567741152,0.950861256,0.978171504,1.11655452,0.949330416,0.320538,1.08069732,0.433078464,0.77194512,2.457341376,1.556386824,2.869880328,1.356268464,2.673290496,0.908009016,0.765125424,0.235935696,0.682114008,1.4000118,1.328243856,1.261225824,1.365706632,1.971970608,0.471628104,0.72983328
"22-Mar-00",3.27211548,2.042554032,1.641152688,1.897773216,1.782696432,2.298581064,1.846211856,3.049033296,1.650050112,1.196535672,2.037973704,2.117333112,1.62993444,2.543774496,2.576287512,6.429280752,2.453258688,2.845977192,2.11888272,1.980658104,2.571513,2.310786192,2.400518232,3.307516704,2.421925656,2.728139688,4.410095928,3.97252392,2.976096504,5.60272944,2.56830936,2.613644952,3.086437584,2.367094872,2.708666328,2.815471704,2.340048192,2.345289768,2.315716632,3.363788016,4.677629112,2.301272928
"23-Mar-00",9.579575304,9.51705336,9.75542664,9.097736832,9.504760272,14.498950488,11.16236616,6.955124616,12.970943928,13.473548424,10.798343184,10.017169464,14.024055,13.50093984,15.101270208,14.104515552,13.008547776,12.360224256,11.684872632,12.958617216,13.249623288,13.654616832,11.0122404,13.75707864,14.626978392,12.68049288,13.566814896,11.862662304,10.808878176,15.122928144,12.268233768,15.616908072,15.889951224,8.698247184,9.702339648,14.985476016,15.674135688,13.921284192,13.156817448,13.715184696,15.660657408,13.381237512
"24-Mar-00",6.295176744,9.722669352,9.317371128,12.96552516,11.409267432,2.203158264,4.48670376,9.40105032,2.622067104,2.94735396,4.95523704,5.338441368,3.3445326,4.137249816,3.970912464,4.470277536,4.1427648,5.03174328,6.916807656,4.657983888,4.671105984,3.50601984,3.763268352,9.961112736,1.315725792,4.561732656,5.013132696,4.03799844,8.024864664,9.949435464,6.78641724,2.475583968,3.308867448,6.21002412,6.99810576,5.637704376,6.137957088,7.023183336,3.697981248,8.571511032,4.175072904,4.47155928
"25-Mar-00",18.307694424,16.111491672,16.152079584,16.09333848,16.205328936,15.17583132,18.24325704,16.293528552,15.309847344,18.600657456,17.410318848,15.108181008,15.900578496,16.23156024,15.892370232,18.071269512,16.242472176,15.788007264,16.667597304,17.745716568,16.151062488,15.317265984,23.331835272,17.1659274,20.271300312,17.612900736,15.975487224,17.10130548,16.552531248,17.899945728,15.109301088,16.284904008,15.761428368,23.846842296,17.683240416,16.18557072,15.761140824,17.686503408,15.564361104,16.252809048,16.49885988,15.82061148
"26-Mar-00",3.180941472,1.23754272,1.932204552,2.883784344,2.548511256,0,1.513022664,0.597375744,0,1.741535616,0,0,1.410701928,1.044692952,1.679902728,0.187357464,1.186527192,1.829152464,1.65051216,1.721894496,0,0,0.626157048,0.259707048,0.747746184,0.092962176,1.366546152,2.553196896,2.166356016,0.119343408,2.51884944,0,0,0.7404492,0.116082144,0,0,0,0,0.475885872,0.040610184,0
"27-Mar-00",8.228332032,4.047431232,6.032778024,2.293821744,1.930408368,1.96389144,0.877339392,0.998482704,4.92987048,0.706650504,8.531156304,5.481127032,0.789131736,1.075054128,5.272491936,2.151086208,16.64983464,1.885870824,1.845327792,2.336508936,3.077391744,2.144570064,39.099183072,6.060997008,12.366232392,17.435235504,4.475941296,8.99381304,0.801614016,1.50507528,1.930516896,3.515485872,3.00900864,14.254310136,3.658543464,3.923318976,3.696415896,10.902578832,9.215862744,1.688867208,2.135769192,3.101760504
"28-Mar-00",3.414379488,5.104083528,15.632450592,5.834798808,15.707804208,5.659654848,21.529509552,9.57784224,11.465225448,15.599248416,14.320096488,15.537181368,22.704783432,8.578872432,11.349826104,5.265054336,8.35154844,11.843014944,8.26506972,9.782858136,5.85206436,7.88048316,11.028100488,5.394378672,5.256176952,6.964199064,5.660700912,3.730355856,5.776494744,4.316094168,12.605143536,7.077828888,5.924049504,23.774611464,8.69982504,7.98110604,2.687466144,5.517342216,7.369729752,4.846333632,4.630898232,4.693933728
"29-Mar-00",9.738119592,12.219537744,11.741317752,10.094812632,9.515846016,17.797461024,29.346442224,19.373029224,17.143143648,29.066782944,13.249461648,15.76905012,14.992290984,12.396808152,10.479045864,9.737762688,10.934895504,11.85715056,12.833317272,14.971907616,16.704624648,15.539647584,7.30993008,9.756807816,8.694366216,12.491590968,10.03276848,8.600731368,10.586991552,10.230501648,9.445203072,14.292396072,15.577358712,9.342592488,15.115337856,10.90512084,11.535650256,10.811884392,12.86499024,9.650111664,17.418654432,17.920928472
"30-Mar-00",8.778800736,13.373661528,12.534434784,10.769594184,13.273551456,5.982293856,9.527573352,8.427650928,8.239178904,10.08313464,13.54633284,8.474937912,12.736840728,13.254186624,13.236451152,14.026649952,14.958879936,16.31121396,14.248486512,12.95152044,5.397919176,8.14832712,6.309951072,9.427506216,6.496927488,10.12111188,11.485067376,8.649394512,11.695874688,13.97915268,12.47043228,8.322187896,7.794560184,6.060366864,6.361842864,13.432685856,9.460534584,14.776792992,9.062431104,10.811738496,3.383127456,5.431551936
"31-Mar-00",8.139144648,7.49469852,7.796324016,9.153787848,9.370980984,7.81289364,9.720369096,21.68885136,8.580431688,24.83061504,18.430563936,8.346882096,4.571633928,9.182790048,8.188068144,8.46156192,10.174446336,4.741152048,5.957695488,4.3626144,14.222416872,7.46593308,9.468494664,14.62217904,7.264265304,16.71632052,36.5369196,7.530008544,9.09546732,7.90009116,10.0999596,13.568321232,11.23549104,10.766303304,16.467420096,10.566491592,10.830198528,6.824978112,7.276202928,10.054560192,13.181077488,11.602702608
"01-Apr-00",1.359484968,1.925633664,1.935534768,1.602637416,0.957920472,2.059827264,1.933392576,15.61706256,12.375401976,1.601336352,2.527135128,7.1168418,4.786322232,5.934952488,2.949988248,7.151669736,3.31061304,2.006002296,1.052105616,1.840121808,6.015443088,11.347743264,2.085977376,4.206969024,0.616694712,7.359829176,1.532784288,1.00622196,2.271254712,3.372830976,0.965873568,5.13034164,2.267629272,4.71429312,7.8297336,9.136268376,2.190195504,2.260139832,4.090931664,1.721937768,5.593658568,0.900896688
"02-Apr-00",54.183322896,50.281808856,55.391675952,54.188135136,52.516576776,49.491920472,44.36280156,45.685097688,47.648583408,44.870870592,46.658472072,45.944832792,48.871725072,48.652553568,50.519605632,49.730804448,48.59117316,50.344087608,48.494596488,47.842583664,49.43018532,48.665491104,50.355302808,51.607103352,50.99733924,50.09719848,52.558061592,53.369888304,53.53269768,47.079915048,51.651758184,50.899000176,47.850986472,48.178476336,49.63716888,50.67733956,46.416692736,47.671159752,48.822206496,50.066711424,49.002599712,45.92136384
"03-Apr-00",26.128306392,14.348197464,14.86321164,20.163309576,17.461699968,16.888468272,12.860416896,12.472753992,15.751074312,13.004538048,18.333776952,17.290230264,20.056777944,21.40977144,18.6823926,19.61795712,21.32788896,20.152038576,18.41130924,16.405536168,18.076550952,18.659066688,26.621174808,22.554054744,27.864343632,20.808943752,19.597180368,29.23330308,17.061548712,19.26654912,17.691259872,17.860466472,18.4162488,27.502175328,22.468710432,17.24220228,19.309979448,19.452714432,17.878119,22.552565568,21.33005904,19.036355496
"04-Apr-00",5.57503008,1.453430064,2.294142552,3.034768944,3.58082592,12.378387456,1.928511312,2.138584968,6.833845848,0.789301416,5.663488992,4.74229968,1.295938608,2.297451864,4.876558536,6.097209696,3.139603248,4.8482616,3.48412908,3.396484488,11.155898088,6.648408648,14.796322344,7.22674728,11.599024776,9.059657328,8.333714952,3.713124624,7.806261072,2.351126064,4.6966542,7.378125432,14.044296744,19.47221232,12.56351136,7.403389704,5.845242264,3.647020704,2.201908176,2.868565848,7.994298216,14.73814344
"05-Apr-00",11.559804432,10.46701956,11.046170712,15.965327736,14.79348708,4.633403424,66.187231056,16.48406124,9.524395464,18.441840648,8.221789608,6.45655776,24.730181688,13.330405704,14.741859912,7.154341224,13.525368696,12.915508752,18.181630608,21.019280424,4.003526328,6.226643088,4.22861124,8.402217144,4.450731408,9.637986672,11.389410504,12.543844704,9.28651572,6.570156816,11.993052,7.182301992,4.5805242,3.775900848,4.488844512,8.376822,6.399089808,6.081582792,4.854282264,5.394415488,3.15108312,4.120509264
"06-Apr-00",28.677300456,21.27831888,20.014163016,26.068654056,20.318262576,29.244729984,29.26680564,34.75174428,28.469893464,32.370657912,29.857758528,35.351712216,25.430139552,26.205382344,28.962324144,25.097731584,23.424988752,22.621059888,23.511478896,23.365064616,28.082997312,28.3995924,21.137400624,28.707713136,33.263474472,28.072451592,30.6651678,34.357732776,29.8050642,26.561067576,28.570498464,25.805193912,27.760651584,20.834074968,29.239817616,27.687377928,34.30313016,28.09004688,35.145772944,27.608530992,26.6160078,28.514551152
"07-Apr-00",29.450240136,10.864350552,14.126372328,9.2949078,13.872528072,22.258721352,7.4442408,3.0989256,7.67744208,8.917025328,18.42569304,10.0583346,7.39335252,10.102744104,9.143197776,5.911791432,10.785281184,12.192957408,10.614359376,9.384560832,11.876517528,10.524955272,8.132376192,8.330052864,21.856962192,8.437710288,6.83155776,25.82853984,13.017498504,6.980406048,10.192163952,11.691906456,10.773495912,8.78049732,10.378328568,9.938979864,8.545368432,5.530969272,11.080186128,10.475641248,10.621170048,18.4375434
"08-Apr-00",0,0,0,0.017579592,0.030544536,1.119154392,0.078401952,0.055616976,0.266030544,0.11073372,0,0.508594536,0.02284104,0.023138208,0.018064008,0.015423456,0.020252352,0.012674928,0.015681672,0.020113392,1.258041504,1.576058856,1.268591088,0.100233432,1.1152458,0.386659344,0.045782496,0.011150472,0.03565584,0.264729888,0.036927888,1.416210216,1.90599096,1.830574584,1.311301416,1.05273708,1.809072384,5.355234144,1.509763608,0.011392824,3.005022888,1.803288288
"09-Apr-00",11.297478672,14.856707088,14.387556552,12.267404088,12.645239352,13.364707944,14.18505048,15.424339776,15.28210116,12.853684896,15.004707816,14.986659048,14.627373216,14.243913168,13.699105728,13.924821864,14.55885744,13.788292416,13.931538096,14.1168666,12.399451728,15.792582024,10.228456032,11.49215556,9.212626944,12.290001864,14.884427544,11.160039432,12.817718976,14.063354016,13.271447184,11.439137928,11.979666,10.093837032,11.146382328,12.148757448,13.372173792,13.327307232,15.064689168,13.964635848,13.867940424,12.947103024
