"date","Pixel15990475","Pixel15990476","Pixel15990474","Pixel16020473","Pixel16080474","Pixel16080475","Pixel16080476","Pixel16050473","Pixel16050475","Pixel16020475","Pixel16020476","Pixel16050476","Pixel16020474","Pixel16050474"
"23-Apr-00",3.354852672,5.36634708,2.788447032,0.739982808,4.524801504,3.877108464,4.047630432,2.653058592,5.379701256,4.840186368,4.638783576,5.230097304,1.670723688,5.400833856
"24-Apr-00",2.767593216,2.370049584,4.973915928,10.185306792,4.839637032,4.98843348,4.862483736,9.029620896,5.43627084,4.485934128,3.593278536,4.888073808,7.63816308,6.970750104
"25-Apr-00",4.918732512,3.897124176,3.961535088,3.318243024,6.582849744,6.898768176,5.462363352,4.891077888,5.412947784,4.908717864,3.915426144,4.091741328,4.004225496,5.467352976
"26-Apr-00",1.732860264,2.53406364,2.4302346,4.138167144,8.905339488,5.891646624,3.368838432,7.043550264,3.328569528,2.23570884,3.43218828,4.292025456,3.282598608,5.938697568
"27-Apr-00",4.158942096,5.411794776,4.105283616,3.351646176,1.147054824,3.173422704,4.682605152,2.718951528,3.845367552,4.33558488,5.312405712,4.398332472,3.423529752,2.123008848
"28-Apr-00",0.430175856,1.637121504,1.979148024,0.690390888,2.117124984,2.612894664,5.906531088,2.596509216,2.957284752,2.031922272,1.724039376,7.284554232,0.72653028,3.341382264
"29-Apr-00",15.074027544,18.483073704,10.803860664,9.35681676,9.55918908,30.830077176,12.88179588,6.08895564,10.382660856,14.461964616,16.842232704,16.722853656,10.2915144,7.738150824
"30-Apr-00",5.904878136,8.93461848,7.256886,6.93283152,7.983811848,7.924273968,8.114770176,7.4665668,6.698086032,6.444793944,8.308239696,7.74944616,6.235431432,6.783424608
"01-May-00",0,1.520665344,0,0,0,1.470704376,2.707533192,0,8.276542416,8.068391568,1.518604704,4.47085512,0,0.316859136
"02-May-00",2.176752264,0.939546,2.301244848,2.358136296,2.040657168,2.123659008,1.499878056,1.958276688,8.485761168,2.396481336,1.063984224,1.470217824,2.297226552,3.500098224
"03-May-00",1.76049828,0.731237328,2.333956368,1.103870712,2.159336496,1.876661544,0.982287432,4.024106736,2.497013208,1.599581472,0.517381752,1.145053896,3.45498312,3.897050496
"04-May-00",0.686974872,1.005843216,0.56813256,0.113574,1.586380368,1.388592672,1.239631344,0.577517832,0.795554808,0.369062016,0.682409352,0.799515984,0.062206728,0.275316936
"05-May-00",1.339383432,1.664491464,2.904442368,1.364366688,5.060447208,8.610857256,6.306383376,3.003320568,3.369245064,1.846735776,1.0048686,2.98413528,1.529670408,3.598748808
"06-May-00",8.034686568,6.461517336,8.608783008,7.6838286,6.81344676,5.912097216,6.175690416,6.053237208,6.267991296,7.412408352,6.385924104,6.554709432,8.123798136,6.35063052
"07-May-00",0.1569378,0.01343316,0.093148992,0.042108144,0.95576352,1.055163312,0.662755704,0.268603728,0.528348768,0.084914064,0.011910984,0.188406096,0.07695228,0.499771128
"08-May-00",1.090215504,2.258796576,0.56533752,2.748113928,1.919975808,2.019890424,2.202404928,1.850104104,3.375847584,1.857164208,2.547963024,2.534148048,1.906129536,3.181237944
"09-May-00",1.685163792,0.820002888,1.704587808,2.962996968,5.895779376,4.17835128,3.355796808,1.948225368,2.963941104,1.87525212,0.946256976,8.980711704,1.722531624,1.960065552
"10-May-00",0.416066448,1.10216064,0.048998808,0.016354248,0.66429552,2.320682472,2.21778756,0.078280464,1.315347792,0.595596456,1.07142636,2.531212632,0.04954668,0.154710336
"11-May-00",7.242226848,8.946219216,7.25574588,10.102706904,8.026021248,9.60439896,8.415008064,10.15098096,7.357988832,7.093707552,8.675189496,8.085891,7.869946728,7.056652296
"12-May-00",1.474743072,0.83694372,1.408390944,1.141724208,2.1623928,2.230897128,3.289075968,1.443995472,1.78875876,1.253867544,1.275103392,1.64578236,1.155116112,1.655459952
"13-May-00",11.304156312,12.119703768,12.458753592,17.00033712,9.371064672,10.195960512,12.397391808,19.220719824,11.082211728,11.485566624,12.448546896,11.791596648,10.703405856,9.373992216
"14-May-00",18.830653656,16.45813608,8.670369384,7.12845468,19.164896976,36.7508154,36.402929304,7.425448896,15.123411648,12.620723256,9.3338592,29.65347576,16.034319888,12.97880316
"15-May-00",7.708543536,2.484894816,10.614686976,7.701135624,3.428056608,2.285491344,0.944864352,5.733078,2.4972648,5.271514176,0.92021424,0.928392552,5.68102812,3.23987568
"16-May-00",1.378958352,2.446566048,2.67635376,0.819642744,1.019024592,10.722877968,17.889465816,1.38595416,6.041298144,0.817806504,1.077855984,1.88473464,0.723142248,0.83527932
"17-May-00",0.874187808,0.263944224,1.031709648,1.664992152,2.229786696,1.932043248,13.019100672,3.153131256,1.889845488,1.66854072,0.949446744,2.292138408,0.92996424,1.348671744
"18-May-00",8.884021272,13.419020184,6.565016976,7.26475596,9.73954224,10.928363808,13.828388208,8.395876416,9.446454768,8.479709376,12.937040808,13.053035256,7.004447232,8.003292552
"19-May-00",0,0,0.463792752,0.516057864,0,0,0,0.464936832,0,0,0,0,0.465470592,0
"20-May-00",0.725017872,0.601665384,0.510867384,0.241658304,0.5510952,0.8666034,2.602117368,0.931867992,1.59976656,1.190506872,3.368582376,8.28386808,0.528449592,0.976142232
"21-May-00",1.164235968,1.5942006,0.92742624,0.85651632,0.976007928,1.403386752,1.383043344,0.896301264,1.78938996,1.752876168,1.464697392,1.496730576,0.982602768,1.391177952
"22-May-00",0.314195832,0.219075,0.121161336,0.188216568,0.121505712,0.656898024,0.316697088,0.133698264,0.281679456,0.310613616,0.216165192,0.192298824,0.191734152,0.248357304
"23-May-00",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24-May-00",0,0,0,0,0.19462128,0,0,0,0,0,0,0,0,0.569678448
"25-May-00",0,0.031797552,0,0.073110456,0.136495824,0.331092096,0.105508536,0.1037226,1.281507888,0.069538008,0.059255496,0.217532976,0.072719808,0.437373024
"26-May-00",0.759731328,0.390289752,0.256568088,0.230743728,1.267524624,1.343878896,1.385270376,1.13504352,1.40485776,0.433953336,0.542257992,1.075693224,0.3490236,1.37724084
"27-May-00",0.087892128,0.08843148,0.502193256,0.893770248,0.30087012,0.224162232,0.11123628,0.507077568,0.30269352,0.392902848,0.050134608,0.071828664,0.539684544,0.47328996
"28-May-00",1.271822688,0.762865488,1.829729496,1.867738368,2.157752568,1.959774792,2.030174184,1.812187128,1.787041416,1.0272096,0.526425816,2.339541624,2.115047328,1.80673152
"29-May-00",0.312612408,1.534369656,0.39358668,0.402910896,0.357217488,0.302082024,0.223875672,0.3979428,0.316007448,0.313012344,0.145152144,0.16156656,0.3930894,0
"30-May-00",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31-May-00",0.936902496,0.818453808,0.860492616,2.141652888,2.435125896,2.662011984,1.134476688,3.811490904,3.427672512,0.895397376,0.806507616,0.7117812,0.820522512,3.178547136
"01-Jun-00",1.826769408,2.812773936,1.020818616,0.942100608,0.49528452,0.512191872,1.177797576,0.421364448,0.786389088,2.654621232,2.201282136,1.649239728,1.248482016,0.542611104
"02-Jun-00",0.231811632,0.50043396,0.315643704,0.623819088,1.888610784,1.237597608,1.360605144,1.820420616,3.038955336,0.674971272,0.221762112,4.037804952,0.845279496,1.492621776
"03-Jun-00",1.15677612,0.58540884,0.837253512,0.48796092,0.593186304,0.765515424,0.982156464,0.532093488,1.100084952,2.537865048,1.194774888,2.163307968,0.75400428,0.81867072
"04-Jun-00",0,0.092637984,0,0.029797536,0,0.031200024,0,0,0.200960952,0.539458248,0.701371728,1.15719696,0.020743464,0
"05-Jun-00",14.656404024,15.018274776,11.832459936,13.97366952,17.268691056,17.23131324,20.115337368,8.83041072,12.535521984,14.170766832,16.725224016,13.759679328,11.550275088,13.07347728
"06-Jun-00",5.537151936,5.104406832,8.174026248,5.53211688,12.117317688,9.314716824,7.47000288,17.555335512,5.967956184,6.189813864,8.284116264,8.084177256,5.451914544,13.27604628
"07-Jun-00",0.635017224,0.752581992,0.779842704,0.764580936,2.30941164,2.2009272,1.63084512,0.216335208,1.64501256,0.833875704,0.707995128,1.955628264,0.54120456,0.187391688
"08-Jun-00",11.442513936,16.235215176,11.514564504,11.255255688,8.931002856,9.151993992,5.876749632,11.481129168,11.109216216,24.261045456,16.061214912,8.317220448,11.35890912,11.561112648
"09-Jun-00",20.269653792,19.915662288,20.866164216,17.44267416,15.686990256,15.483056544,14.422071936,14.683712472,16.062220584,20.17799664,16.87509012,14.126451024,17.403406632,16.500573624
"10-Jun-00",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11-Jun-00",0,0,0,0,0,0,0,0.379054776,0,0,0,0,0,0
"12-Jun-00",0.077105352,0.030107184,0.139834968,0.467365008,0.042205032,0.035271048,0.01176816,0.216997464,0.08599536,0.113502312,0.029227752,0.031959792,0.458141472,0.102912192
"13-Jun-00",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14-Jun-00",0.508369848,0.09595728,0.405250224,0.395280768,1.983496608,1.902608328,4.66448628,0.138150192,0.128428224,0.093874056,0.311313672,0.141480024,0.100205352,0.135048696
"15-Jun-00",9.601985688,5.697314856,14.114481936,28.576415064,24.16893768,17.613896376,11.1554346,38.036699304,20.1290574,9.202827216,9.33724164,36.85389804,7.880254272,42.732473376
"16-Jun-00",27.851689344,32.146596912,28.802149776,32.765413296,27.645549768,25.070271504,20.687853816,33.995553024,30.687346464,29.731284144,30.660859104,23.068648344,33.925546656,30.636388776
"17-Jun-00",33.17861652,37.704285624,32.177862168,30.900692928,29.573424336,40.69670964,38.332517616,30.170165064,30.700524336,32.380173672,40.175502768,36.604531296,31.687388424,30.233565336
"18-Jun-00",4.564389456,5.464569216,2.15009112,3.909959424,1.811465808,0.996347928,2.050934496,4.034589888,4.149722448,4.635936504,3.083319792,2.751853464,3.586026552,1.777883472
"19-Jun-00",2.090566992,2.341077984,2.272662528,2.136053688,1.34109504,1.642974984,1.580112216,2.079961176,2.425683792,2.42342556,2.77173096,3.474379416,2.184783336,1.798149
"20-Jun-00",3.490309248,2.685777072,5.66092836,10.862133984,33.155156136,29.175061224,43.745813376,4.052676912,3.503722776,2.447678448,2.883141168,10.51340604,2.96873904,4.045440312
"21-Jun-00",7.959900144,10.700626368,9.698194032,27.569535264,0,5.341736544,0,0,0.641930592,0,0,0.120895056,0,0
"22-Jun-00",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23-Jun-00",0.010745304,0,0.010260024,0.010408584,0.032233944,0,0,0.012104952,0,0.011103144,0,0,0.01048476,0.012314208
"24-Jun-00",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25-Jun-00",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26-Jun-00",10.541946888,7.753652568,1.414198824,0,3.440235264,0,2.65497636,0,0,1.944537168,6.568081152,4.959387672,1.424480616,0
"27-Jun-00",0.164832528,1.412504016,0.18295968,0.970325136,4.225538136,4.257930648,2.819664,1.432650096,2.88760524,0.543878712,0.543889848,2.475028584,0.918576936,3.305892
"28-Jun-00",0.126062736,0,0.08922348,0,0,0,0,0,0,0.031546272,0.012803784,0,0,0
"29-Jun-00",0.618629928,0.68614464,0.238261224,0.210427728,0.316535544,1.530544464,1.087413216,0.200879328,0.806048328,0.679596216,0.594150912,0.6173856,0.5626938,0.568685976
"30-Jun-00",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01-Jul-00",0.040176936,0.6402786,0.012343224,0,0,0.269195928,1.770396,0,0,0.030760056,0.082679808,0.07027272,0,0
"02-Jul-00",3.686429136,2.373641424,4.79221524,5.101314792,7.17583608,6.396753072,4.632210384,6.12689424,5.591505648,3.945193296,3.1304952,4.335405696,5.245614048,5.993221872
"03-Jul-00",4.070991408,4.061261064,4.22942484,3.143998512,2.071847328,2.481111648,1.443426768,2.504075112,3.027091752,2.603502096,3.34366536,1.17430356,3.11137032,3.030782112
"04-Jul-00",9.939304584,12.882542616,6.365406984,6.078484296,9.51490188,11.115865224,18.238108632,4.439188248,6.383977896,7.951909296,13.399533744,8.200403448,6.360471,5.28131604
"05-Jul-00",0.358396848,0.44269056,0.292628856,0.242443968,0.194380704,0.226763952,1.61518728,0.060946008,0.066958656,0.315422424,0.257159712,0.177984624,0.287365272,0.06176148
"06-Jul-00",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"07-Jul-00",0.421639584,1.401972672,0.31234668,1.034433792,0.475122312,0.867504624,3.280989288,1.12717608,1.012313064,0.425131776,1.410226632,1.477605264,1.08038244,0.977751192
"08-Jul-00",0.034365504,0,0.045357576,0.048422184,0.091678944,0.080214912,0.751160064,0.062411376,0.05001168,0.036075,0,0.044460936,0.047072976,0.06105624
"09-Jul-00",0.62421288,0.66056388,0.987087864,1.006275864,1.191101712,1.164342192,1.362772632,2.90780496,0.84207684,0.843047352,0.743812104,0.773351496,1.002063,2.910080736
"10-Jul-00",1.226708568,2.554113696,1.93871052,1.774255872,1.888031784,2.912034984,8.321852448,2.631654744,3.467250816,2.618275512,4.034004096,7.723909368,2.5246296,1.825380912
"11-Jul-00",1.4698314,1.755886848,2.62190508,2.54062056,4.165197024,3.384564048,2.703928296,3.205087056,3.126770136,1.531136328,1.536090552,2.683212528,2.356192416,3.079209912
"12-Jul-00",7.982495064,7.155745992,4.134145968,3.977226744,5.999224656,6.199449768,5.668807272,4.124826552,5.40558492,5.859510552,7.276055568,5.30626344,3.900471936,5.031773328
"13-Jul-00",6.470565312,4.73148036,6.008053056,8.228591688,3.14800608,7.038501984,5.996154432,11.882447712,65.66887092,5.592642552,9.311918016,23.562912936,5.6919558,11.599586952
"14-Jul-00",10.034646024,7.692228552,11.375398632,11.359096536,9.138082272,8.06499552,6.472975008,10.821480984,8.494956504,9.997748136,7.517769816,6.378034824,11.314990992,10.725458616
"15-Jul-00",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16-Jul-00",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17-Jul-00",0.133840944,0.12061104,0.130891608,0.035330208,0.044945088,0.053567208,0.20615796,0.041836656,0.17672088,0.138575784,0.127168224,0.181008504,0.134099616,0.042386808
"18-Jul-00",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19-Jul-00",0,0,0,0,8.96962308,0,14.244652752,0,0,0,0,1.746356256,0,0
"20-Jul-00",0.0296784,0.063728664,0.11222124,0.099651864,0.144252192,8.056236504,0.31781976,0.084874464,0.155250144,0.1531494,0.04257888,0.121359672,0.136264848,0.135788304
"21-Jul-00",0.051472752,0.249468144,0.092415024,0.155644536,0.392524032,0.351894912,0.467079528,0.196132776,0.152875968,0.101013,0.183398256,0.321864264,0.081836376,0.163136544
"22-Jul-00",0.05738868,0.038123544,0.040869048,0,0,0,0.055518408,0.021932688,0.0255408,0.019981848,0.039277032,0.022096824,0.02148876,0.027803544
"23-Jul-00",0,0.77074536,0,0,0,0.119072712,0.054183024,0,0,0,0.099547392,0.059941344,0,0
"24-Jul-00",14.969470032,13.1232276,15.796999464,16.147514832,15.086741928,14.161544328,12.507634152,16.05697488,15.05165292,15.049620144,13.908322344,13.458520896,15.947825424,15.939714432
"25-Jul-00",0.014658672,0.42106332,0,0.016094856,0.8089182,1.03950708,0.712325952,0.025871856,0.183460728,0.015220872,0.077432448,0.16714644,0.011076696,0.055166976
"26-Jul-00",0.113081208,0.065245392,0.124874952,0.164665056,0.2022396,0.19950552,0.270847248,0.199840368,0.101418768,0.10628964,0.08800572,0.128940864,0.165302808,0.111207744
"27-Jul-00",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28-Jul-00",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29-Jul-00",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30-Jul-00",0.050836512,0.097987584,0.142281744,0.067137552,0.132484776,0.260008176,0.035522232,0.187758528,1.112461128,0.012855456,0.010483536,0.01643292,0.066473688,0.185415192
"31-Jul-00",0.056969784,0.110852976,0.221103072,0.286531416,0.489650088,0.727547016,0.349530984,0.309639,0.46444044,0.371757336,0.170095488,0.32011536,0.396246816,0.437140536
"01-Aug-00",1.59203268,1.647041208,0.705159552,0.70698876,0.92201892,1.181414448,0.813863496,0.642845664,1.708247952,0.501618816,0.65171112,0.905623008,0.576450024,0.580549512
"02-Aug-00",4.91275728,3.798113112,4.011272544,4.050252552,8.620597608,8.6288352,8.44187664,7.268988144,11.203571328,7.511049984,5.855642088,7.55673336,6.286445616,9.663343896
"03-Aug-00",8.103654384,6.42536832,20.479601376,31.762427328,10.599914064,8.799841392,6.279351,23.468894016,7.717197408,8.8018062,4.945081104,6.38513016,22.776989928,11.832787512
"04-Aug-00",17.691802032,12.584474088,9.825166224,2.261455008,14.021814816,13.995820992,11.931015024,6.875329248,16.854299064,20.643467904,14.076836592,12.89407968,8.245599024,15.602057928
"05-Aug-00",4.825504656,6.025947336,5.173586016,5.49257004,3.437804808,3.798320184,5.042711016,4.666615608,5.494715808,4.336502904,5.591682672,5.53808856,5.054514528,4.255503408
"06-Aug-00",2.80356144,6.025167696,1.925473272,2.47676664,1.799167512,2.075630136,15.52924776,2.248685184,2.409283704,4.873948224,5.602381464,4.592586288,4.40397192,1.900001592
"07-Aug-00",1.9007274,1.282727112,1.73526264,2.244151896,2.7793572,3.245725752,2.205814728,2.740907184,1.94103492,1.869940632,1.319994816,2.51212584,1.914504816,2.661635928
"08-Aug-00",4.944370512,5.321458344,1.6412328,0.457360056,0.834841944,1.54762512,1.817978736,1.0556244,3.74764932,4.45715976,4.343085408,4.314771288,1.93940628,2.999588376
"09-Aug-00",8.419248816,9.504855384,10.954181664,12.94603872,10.619724504,11.836867344,11.198449368,7.877841,13.102226256,11.672155392,10.885627272,9.765345816,10.60988832,8.708961
