"date","Pixel16530450","Pixel16530451","Pixel16500451","Pixel16500452","Pixel16590455","Pixel16650456","Pixel16620456","Pixel16620454","Pixel16650457","Pixel16650458","Pixel16590458","Pixel16620458","Pixel16620457","Pixel16470451","Pixel16470450","Pixel16470452","Pixel16590456","Pixel16500453","Pixel16470453","Pixel16530454","Pixel16530453","Pixel16530452","Pixel16440451","Pixel16440450","Pixel16500454","Pixel16500450","Pixel16470449","Pixel16500449","Pixel16500448","Pixel16560456","Pixel16560457","Pixel16590457","Pixel16530449","Pixel16470448","Pixel16470447","Pixel16440449","Pixel16560455","Pixel16590454","Pixel16560454","Pixel16530455","Pixel16560453","Pixel16560452","Pixel16590453","Pixel16590452","Pixel16620453","Pixel16560451"
"20-Aug-00",7.558858392,5.720912208,7.19772648,17.278282632,1.867411488,4.662927384,3.929005632,5.869357104,4.391537904,3.391785264,2.249724456,1.490305776,1.495707744,6.583001376,8.38362264,4.001486424,3.47367132,2.382178728,2.032400064,0.454798008,1.72154028,4.337993856,3.839638344,3.69006264,0.834447912,6.07350684,2.307270168,6.171732192,4.97730624,2.7078336,2.192016552,2.251597512,5.66887308,1.880673936,11.244956016,1.779200424,0.930185256,1.308032064,1.72897464,0.475777296,1.658646768,2.29867692,1.659102912,2.846487168,3.485462304,2.065057944
"21-Aug-00",3.675575496,1.384943952,3.886469016,1.719522,8.139477264,0.492014184,0.534085488,0.612074064,0.350896008,0.35669676,0.026402712,0.36818532,0.3816252,5.087316144,5.577499872,4.312151664,0.483224712,8.313797232,5.19990312,1.958028312,11.61273336,10.676344152,5.238242616,5.454405432,9.098552952,5.345158344,2.656086456,5.32755948,2.108717328,4.959387672,0.4631622,0.385396464,9.561280488,3.849418752,1.724360712,3.857308032,5.503547424,0.622529664,0.026241768,0.641296416,1.329950712,0.10277484,0.055117776,1.836175032,0.69233388,0.787720536
"22-Aug-00",0.259858248,0.245033112,0.41621148,0.43490388,0,0,0,0,0.0273762,0.274705248,0,0.024682824,0,0.480270672,0.483452256,0.497964936,0,0.437201544,0.500135904,0.022830384,0.2516058,0.334183032,0.482307936,0.530144376,0.069135576,0.409448016,0.459222216,0.384781752,0.10639332,0,1.583133288,0,0.25448568,0.32018388,0.31571556,0.453283632,0.012070104,0,0.079912368,0.593343,0.202924992,0.35833632,0.306357288,0.326288448,0.78632148,0.3417726
"23-Aug-00",0.541312248,0.847567152,0.771738408,0.771300048,10.833070272,4.566097488,5.788884768,2.817442248,2.725436928,2.369804976,3.622066848,2.29834788,3.7846452,0.55034052,0.872018784,0.607122216,5.183923248,0.80500656,0.609431376,2.437921104,0.99800688,0.969013632,0.445988736,0.665339928,2.715215208,0.692083872,0.570244152,0.642263976,1.05416268,11.735457648,2.940924,4.609078992,0.791138376,0.627365928,0.438946992,0.86654208,4.361680632,4.232016216,1.492072464,3.02520168,1.176494208,1.000314216,2.64688236,4.249944096,2.148812232,0.851300232
"24-Aug-00",5.74945092,6.157128096,2.34113448,3.763999344,3.249799848,7.741117008,7.602371688,3.394126296,11.289812568,12.629641056,8.55270624,9.5234964,11.690425872,1.61798484,2.241625608,0.83428368,6.68154144,4.367867592,1.067469288,3.631713504,4.469386704,5.749877208,1.68514056,1.273640688,2.91908724,2.879802528,1.26473952,2.058304488,0.750671808,8.358482112,7.47367788,8.087149848,3.506105304,1.789391208,2.583946464,2.312179152,5.235379824,3.785636904,6.0804162,11.528762352,6.296421288,6.274422168,4.979969136,4.331787936,3.588527448,4.026987432
"25-Aug-00",7.677608736,7.305120696,7.61019588,9.722527752,12.870710856,19.57524204,14.428409088,9.086163288,13.248687744,12.659312736,9.574508424,9.412291296,14.365058904,6.906414984,5.26116156,6.35839248,12.623838912,8.039699088,11.249489304,14.349082944,9.939931152,7.602782976,6.633313896,5.710887552,9.214317072,6.256195296,7.21312236,9.60056376,11.096938128,9.85067724,9.914465184,9.50355648,6.926480064,10.16163396,8.700723408,5.495630256,12.772996896,9.731359728,13.812742704,11.188480848,9.234673968,8.885835168,10.105327608,7.17692256,22.686223992,9.7744782
"26-Aug-00",8.483491656,11.201856144,22.693765632,14.046187872,6.752491944,4.10005296,4.6740768,9.981641304,5.867237088,5.602159032,10.119666336,5.036294472,4.256927136,18.4346652,11.62565232,8.187309984,5.367275472,8.796823752,5.582697624,5.07299244,4.075861584,6.942019704,13.076643,3.710672376,8.821149576,39.377469072,12.221198568,19.570436952,15.0474372,9.025796424,7.465253592,4.080613368,9.620525112,9.9255588,8.508892536,4.874753232,7.783388616,5.525194656,7.737193104,7.285396824,4.166599632,7.175726664,6.473891976,6.545143608,7.090153464,7.33833288
"27-Aug-00",0.165726744,2.217896808,0.60509352,0.352751856,0,17.478723048,3.113709216,0,4.191313152,4.088270904,4.176583896,3.867912768,4.76592816,0.59258208,0.225494808,0.879489984,3.549454104,1.108246032,0.604503432,0,1.263140472,1.356657024,0.369700824,0.21475932,1.82418216,0.101979216,0.224900616,0.10454052,0.077492376,4.43570244,4.02334572,4.455128064,0.200577312,0.095389488,0,0.931494264,0,0,0,7.538635248,4.928721072,1.17731712,0,0,0,1.36619988
"28-Aug-00",0,0,0,0,0,0.74775996,0.446006928,0,0.51730308,0.678505848,0.797290656,0.787839264,0.409277688,0,0,0,0.486896256,0,0,0,0,0,0,0,0,0,0,0,0,0.485932272,0.358253448,0.35428212,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29-Aug-00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30-Aug-00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.993812744,1.901907552,1.886129904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.114120544,0,2.092294344,0,0,0,0,0
"31-Aug-00",0,0,3.187292928,0.296773896,4.024985064,2.397875016,0.755090928,0.964853088,1.62136728,4.8437394,4.310878872,4.410799752,0,0.253423368,0.697647312,0.253227768,0.737339712,0,0.010746624,0.907315224,1.36090224,0,0.239020704,0,0.862287192,1.793854056,0,2.454100896,0.721501128,2.295747408,0,0,2.10725016,0.689612712,0.689355888,0,2.963644272,1.692090144,0.743855376,2.522743104,0.736175712,0,0.745074576,0,0,0
"01-Sep-00",0,0,0.032838264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"02-Sep-00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"03-Sep-00",23.772342672,32.225672712,45.61711692,28.368412968,11.604785448,24.949942584,24.735789288,23.75111388,16.297996056,18.105666168,10.179533232,15.17344236,18.354848376,40.676839824,14.502420912,34.274900448,10.605082512,27.09022236,14.923104288,10.967149968,14.304771432,21.612886896,6.069809664,9.7500708,22.387124064,53.905179984,19.545128352,23.542210584,30.30011844,10.817475552,17.66277552,17.564010144,18.663592824,20.485024464,21.106644624,4.1950668,10.517453664,11.158887144,10.933799736,10.429012296,10.906739472,19.836087216,13.60138608,17.046046248,22.140583992,32.803175928
"04-Sep-00",42.687829968,40.952293392,42.717699048,41.269566528,28.837457664,20.325249192,19.929506784,22.016080848,19.233265392,20.092652328,18.767994408,18.276669504,17.144884584,44.739675528,43.031816472,41.592370032,25.746909144,37.477663992,36.868306152,31.610117904,34.057631496,38.029400832,44.375238408,43.617928512,32.194104192,42.664784424,43.249654776,42.33496284,43.259862888,22.22551776,20.81403924,22.243658064,44.58136368,43.89710712,43.874015808,43.366825104,27.866357808,27.749070168,32.507288928,26.994724272,33.010840416,34.911352152,30.156715392,30.096705432,24.94538784,36.153104784
"05-Sep-00",0,0,0,0,5.52898764,9.284211864,1.995002568,2.593339752,3.001317144,6.233663328,1.755102216,1.426903272,3.557781456,0,0,0,3.229449384,7.995754488,2.065291464,0.367594296,2.942866632,0.98721144,0,0,2.667771408,0,0,0,0,7.6658256,1.77876288,2.878675272,0,0,0.043932432,0,9.844277856,3.389933112,0.339296904,4.472307432,0.34088016,0.754774608,0.957165432,2.763721704,3.336982368,10.73556804
"06-Sep-00",0.022788624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.030077808,0,0,0,0,0,0,0,0,0,0,0,0,0
"07-Sep-00",0.126193032,0.144269424,0.340039944,0.172171032,0.342544056,0.11629548,1.449191712,0.237449328,0.156697536,0.094793664,0,0,0.012305184,0.174574368,0.245829384,0.305857536,0.361906512,0.11936028,0.159830064,0.06784332,0.235654704,0.586534296,0.176081856,0.201606168,0.109572024,0.244033176,0.422056848,0.280948104,0.323775384,0.018025536,0.039510696,0.011187216,0.25499148,0.405565704,0.215662176,0.190625544,0.150019776,0.571523256,0.266015904,0.191477064,0.118123464,0.460779336,0.192082272,0.7824972,0.758153016,0.074536344
"08-Sep-00",1.562254968,1.375093104,1.247848224,0.81296208,0.388641216,0.542682864,0.124271808,0.374952864,0.391493136,0.043367256,0.132716808,0.149626224,0.178428024,0.744101016,0.866538864,0.645042264,0.222397824,0.878606568,0.678442008,0.907027344,1.076448888,0.64528704,1.542665712,2.065689144,0.99891204,0.931206744,0.973072536,0.94324092,1.074520656,0.735834096,0.25640088,0.116176272,0.930106488,1.38095928,1.860533784,2.257069056,0.406371336,0.07804836,0.563615352,0.769185936,0.909090672,0.716898288,0.495572496,0.715053624,0.147649056,1.508518512
"09-Sep-00",2.847157008,3.745509984,3.682443384,3.376306416,4.366623768,6.889537104,7.321295496,3.382940064,7.496209152,9.371908656,10.647291192,10.086456288,9.098790408,2.607745896,2.116181904,2.680897944,7.692263592,3.314589504,1.695333648,3.269533032,2.940014904,4.779484032,2.416823928,2.040008424,3.355746384,2.124250704,2.086216104,2.421863976,2.265081336,8.092879776,9.228100056,9.579607488,1.38392892,2.11192596,0.907415184,1.919483352,4.382253888,4.018184424,3.698772312,4.885501752,3.184683312,3.372564192,3.913507104,3.798030864,3.139333608,4.15314888
"10-Sep-00",0.121033872,0.065337456,0.214799184,0.186726216,0.30734448,0.249676824,1.092039504,0.043277136,0.798176856,0.275989776,0.053419344,0.409351488,0.389328984,0.525192312,0.670589184,0.426710616,0.25394496,0.070670688,0.492898056,0.088765944,0.082003056,0.080300976,0.7705914,0.914546448,0.177014352,0.395406192,0.840467952,0.375289824,0.347652432,0.151290384,0.7074024,0.412060224,0.182499576,0.97617996,1.308673728,0.938304384,0.444437328,0.010075296,0.106207944,0.617715288,0.097657776,0.093860736,0.012056424,0.094038552,0.01451712,0.063970008
"11-Sep-00",0.045097248,0,0,0.051881088,0.355199832,0.498770976,0.394115424,0.255343824,0.479871816,0.505078416,0.446547216,0.393527496,0.387657384,0,0,0,0.381287328,0.079346856,0,0.12579912,0.072347472,0.053145576,0,0,0.10634628,0.021603432,0,0.017531472,0,0.552810912,0.439840872,0.43972524,0,0,0,0,0.31796328,0.241884456,0.275645304,0.109724952,0.148135704,0.182907096,0.23428296,0.199411296,0.222298128,0
"12-Sep-00",0.502665504,0.296238864,0.342475008,1.209397584,0.300327864,0.503504376,1.377437976,0.160460856,0.325806984,0.426981744,4.172451144,1.67682516,1.3297938,0.473805552,0.438734688,0.48468468,0.879147744,1.21424184,0.984078624,1.306679064,1.036910976,1.077035928,0.373796136,0.48737364,1.38120372,0.339741912,2.188655208,0.632856792,3.90810156,1.373530536,2.317004616,2.606590752,1.061154744,1.956897864,5.062377696,1.248454296,0.905102592,0.027900912,0.713144568,2.473580712,0,0,0,0,0,0.279276096
"13-Sep-00",6.34556652,11.628265848,6.405944112,6.639038808,9.028526544,13.001781456,14.506805424,8.472443808,14.123298168,13.942773336,7.786372656,11.783779632,11.427039384,4.530540696,4.530144816,5.195354472,10.151314968,5.645440584,4.894215336,7.095466368,6.939118632,7.766791104,4.455959208,4.172830224,5.059970496,5.773275024,3.883508928,4.408498416,3.613433712,8.212102176,6.5663166,8.7151866,4.547752968,2.708279376,1.209457848,3.58884252,7.967529048,9.029206032,7.378385784,6.003429648,8.364062544,8.568760152,9.603094344,8.871218928,8.31084036,6.935306304
