"date","Pixel15540521","Pixel15570522","Pixel15570521","Pixel15600520","Pixel15630520","Pixel15630519","Pixel15660518","Pixel15630518","Pixel15600519","Pixel15570519","Pixel15600518","Pixel15570518","Pixel15540518","Pixel15540519","Pixel15570520","Pixel15540520"
"28-Apr-00",5.407463544,5.760274536,5.095092048,0.823425744,0.66193176,0.658752312,0.665896128,13.793073168,1.039832256,3.541956072,1.688363856,2.068454136,3.809173104,4.217408904,7.250901456,7.81688976
"29-Apr-00",13.829249376,2.694805392,12.713087088,6.380450256,10.372462752,11.164855248,8.69461656,9.322853568,6.950721504,7.973586552,6.306296832,9.023724312,19.655683992,14.536521432,4.99114824,8.079439392
"30-Apr-00",5.742712152,4.206377856,8.86905312,10.630413288,3.284386752,4.079131008,4.567797312,4.818963648,9.597121944,8.797572624,9.760446312,11.474879256,7.056229584,8.663159616,9.090478416,6.84201408
"01-May-00",1.850850456,0.9367134,1.854589992,11.188710456,3.168292512,2.1463818,3.413225064,2.404424256,2.92886532,2.003488896,2.203643736,2.031062904,1.5564648,1.530895296,1.778631624,1.322465928
"02-May-00",2.123078952,3.219192984,3.32729136,4.992158184,9.787171128,9.85264992,7.804211136,6.915008064,3.941908488,3.517048008,3.81192648,4.030324824,3.949246656,3.23291016,5.286280632,4.354488024
"03-May-00",4.504608744,4.757743128,5.847847584,17.553362856,7.733312136,8.023914096,8.386869192,7.321205376,9.622011432,9.912838704,8.542184112,6.373320576,5.262110352,5.501336208,8.427537192,12.612648
"04-May-00",3.765617976,9.328475472,6.630223272,1.548448752,0.275364576,0.638543808,0.84223464,1.366593888,1.599807312,0.884586192,0.533824992,1.367296992,1.998034368,5.716938624,3.257935176,2.050156296
"05-May-00",2.396613288,5.797435272,8.757656328,7.240588896,6.35775804,3.48039972,2.155867872,0.925586784,2.732648664,2.708323536,4.856268528,2.743292928,2.007114,2.846913624,3.258646848,4.707061536
"06-May-00",9.553637256,6.3874662,6.334775448,4.720747584,26.214371688,5.650458456,3.097000488,3.839844336,3.161427144,3.352744104,2.08921104,3.451748016,5.45162772,5.29231524,3.712138296,6.032685048
"07-May-00",10.882188312,13.964168064,10.824136728,14.301013464,18.474490632,25.956853872,10.090258608,13.448814864,8.869049544,6.2467482,9.135583152,8.048141232,5.50181364,5.888675448,9.104234928,7.29032064
"08-May-00",0.208645344,0.668483016,0.222767496,1.490588664,1.968206592,0.86879844,0.660040056,0.54739692,1.17590628,0.279077448,0.344818056,0.28100736,0.430749888,0.159566808,0.066758784,0.146544528
"09-May-00",1.18118808,2.527246536,3.095174784,6.82032324,4.493979336,3.775484208,3.69787824,1.76218164,3.278920416,2.205655392,1.905717552,1.315157544,0.772128672,1.457261232,5.127752784,0.68651532
"10-May-00",8.480384592,6.534930456,8.745474096,12.453509328,9.632814648,7.25889588,7.495898016,7.492337472,7.198752168,5.956260312,9.54328752,7.190900808,6.22254252,5.813604,12.609636792,6.070600752
"11-May-00",8.750204808,9.214054584,8.222929728,9.139979832,10.937770128,10.608415608,11.951041464,11.099332104,6.51399708,4.515496008,6.970041984,4.692016848,4.97439372,5.480771184,7.01476692,5.685780648
"12-May-00",1.564149312,3.532297248,3.133583304,1.465207464,14.788732056,4.548547632,4.120691664,5.337269064,2.109785016,4.914718512,3.37006188,2.597548296,2.30986368,5.007416376,4.641260856,3.375694512
"13-May-00",0,1.838299512,1.054365912,0.659758296,2.14151304,1.999158024,3.645623448,3.615426768,1.19682804,1.162085736,4.249786728,2.978739024,3.926670312,0,0.554492928,0
"14-May-00",6.001204488,4.893102408,6.406559232,6.145606752,4.329388968,3.540779472,3.67956984,3.326119776,2.909772456,3.039014688,3.561076272,4.210848936,7.141584624,7.513258704,7.110232104,9.370209216
"15-May-00",0,0,0,0,0,0,0,0,0,1.574983824,1.336061784,0,0,0,0,0
"16-May-00",3.68358564,5.448780648,2.504015208,4.545542832,3.844138032,6.554509872,8.339780328,11.59335852,3.628288872,2.360470008,3.4749366,2.40433896,3.540856728,2.272294344,2.408991504,1.587809976
"17-May-00",1.310272968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18-May-00",22.897388928,23.815186512,21.90676116,17.831275464,17.584764,19.497187608,14.463874344,15.630466464,17.436226848,17.072952744,17.265459528,17.569573392,17.054204472,17.480273712,18.54227544,19.00939464
"19-May-00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20-May-00",0.090057072,0.180115992,0.156273144,0.434304576,0.042248016,0.042409776,0.013229808,0.014351352,0.032589768,0.034992048,0.031644312,0.033782496,0.034044792,0.035287392,0.170073384,0.045416376
"21-May-00",0,0,0.011745072,0.189728496,0.213416808,0.170279592,0.217348032,0.173036232,0.052255944,0.012109416,0.097445064,0.033321912,0,0,0,0
"22-May-00",0,0,0,0.112495776,0.188812512,0.135421872,0.092133096,0.073349496,0.130196376,0.02812884,0.019166112,0,0,0,0.045232512,0.0542214
"23-May-00",0,0,0,0,0,0,0.323025672,0,0,0,0,0,0,0,0,0
"24-May-00",1.916526144,0.36208356,0.455568072,0.1712484,0.74277288,0.788758896,0.180385296,0.773761968,0.295864536,0.457565328,0.409649544,0.49568904,0.432025056,0.456249384,0.935072952,0.550494888
"25-May-00",1.387012848,1.353635688,1.417601832,0.557948688,0.292062624,0.167095824,0.164292168,0.237693192,0.267622176,0.11977896,0.25654764,0.25443876,0.125777256,0.268745832,0.587656848,0.668011224
"26-May-00",0.427397544,0.667441776,0.859064976,0.67866,4.135370856,0.84502368,8.058499584,0.832942656,0.588650016,0.41070936,0.577561056,0.294919752,0.278978304,0.20700072,0.490547904,0.372388104
"27-May-00",0.346409616,0.242774832,0.517593432,0.07585344,0.5582454,0.602625168,0.783591816,1.097000424,0.187408704,0.041178408,0.155385048,0.0424068,0.530934072,0.01160184,0.070607352,1.17227028
"28-May-00",0,0,0,0.106899096,0.06150804,0.081182376,0.10083432,0.08357736,0.027571392,0.073559208,0.02840184,0,0,0.077660928,0.055695192,0
"29-May-00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30-May-00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31-May-00",0.96516984,0.011462256,1.022374848,1.849351656,0.148418304,0.18119844,0,0,0.057981456,0.029920512,0,0.030515304,0.026991072,0.026479632,1.476440016,0.138190656
"01-Jun-00",0.514901256,1.090048944,0.863122176,2.11513656,1.791297024,1.667937216,1.15411932,1.65392052,1.917020376,1.322698128,1.906132032,1.142212896,1.101731832,0.720917784,1.54008096,1.118846568
"02-Jun-00",2.040868344,2.4836256,1.30538124,1.252706328,1.468869576,1.288190256,1.673756904,2.503347168,0.768336912,1.555682832,1.293402576,2.963622096,1.975715688,1.76686908,2.12965644,1.802088264
"03-Jun-00",1.105696584,1.276301808,1.3469088,4.54942668,8.659095528,2.59151352,2.230131816,2.323789176,3.944474808,4.01769804,1.83554988,1.981827192,2.780554896,1.959384624,3.85907256,2.944860768
"04-Jun-00",13.981746192,3.6131934,0.600584808,0.979416768,16.762311456,4.543412088,12.324793344,9.492392784,2.923187616,2.71282464,7.06019712,3.939095736,1.810693872,0.883290936,7.247576952,7.151124
"05-Jun-00",7.30964184,9.192407376,7.289206992,6.040788888,3.917955648,6.652677288,3.37926936,3.514481664,5.110285872,5.33794176,5.767793664,5.036110632,4.87168944,6.570751896,6.99850488,7.020650616
"06-Jun-00",0,0,0.218975184,1.47925848,4.873981824,4.415809032,7.544350152,4.46926368,1.446104952,0.367136664,0.45558696,0.297801696,0.423154824,0.07168584,0,0
"07-Jun-00",0.035255232,0.017475168,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"08-Jun-00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"09-Jun-00",0.907437,1.058152656,0.89528964,1.76165556,0,0.69519576,2.791028568,0.874708872,0.53455428,0.169929096,0.510801408,0.16156356,0.16274736,0.171275616,2.04353124,2.06625312
"10-Jun-00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11-Jun-00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12-Jun-00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13-Jun-00",0.350441616,1.432996536,1.045369776,1.445685792,0.755683968,0.842904288,0.610558656,0.41054424,1.459335216,1.597739328,1.479674568,1.432762392,0.175025856,0.646250328,1.538412624,0.917466048
"14-Jun-00",0,0,0,0.068717136,0.233381448,0.216952392,0.01243152,0.061697424,0.069613272,0.05606316,0.086781696,0.061218336,0,0,0,0
"15-Jun-00",0.010842816,0.750621816,2.159047728,0.852747648,0.87922392,0.579551568,0.93468216,0.593640312,0.456408072,0.034825248,0.349402608,0.031398864,0.011985024,0,0.138600456,0.03947736
