"date","Pixel15810514","Pixel15810515","Pixel15840512","Pixel15750512","Pixel15780512","Pixel15810512","Pixel15810516","Pixel15750516","Pixel15750515","Pixel15780517","Pixel15750514","Pixel15720513","Pixel15780516","Pixel15780515","Pixel15750513","Pixel15780513","Pixel15810513","Pixel15780514"
"15-Sep-20",1.113403368,1.061166912,1.849635768,3.643746984,3.180980088,2.177720376,0.70905528,3.120296352,2.510612376,1.608402552,2.200119312,2.4266898,2.062786272,1.424624928,2.370634488,2.132136936,1.564752456,1.122649584
"16-Sep-20",0,0,0,0,0,0,0.135664152,0.94781532,0.030375432,0.155065008,0,0,0.250976424,0.010917048,0,0.013317,0,0
"17-Sep-20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18-Sep-20",0,0,0.565293288,2.34207576,0,2.409198576,0,0,0,0,0,0,0,0,0,0,0,0
"19-Sep-20",0.227080608,0.199489416,1.772222928,0.726302328,0.14352756,1.479232464,0.856537608,1.410275016,3.097864872,8.472618336,1.171854528,1.006612128,1.742957544,3.334531896,1.221102024,1.091497872,1.974172008,0.678618552
"20-Sep-20",0,0,0.123425952,0,0,0.1107138,0.09969192,0,0,0.052058088,0.061851672,0.04331904,0.052143936,0,0.06091608,0,0.088719048,0
"21-Sep-20",22.642550472,25.560313224,18.779500008,14.854100712,17.87301492,18.31573248,33.825410832,18.551043024,18.812437536,19.689569952,12.477878088,14.296236984,24.63640308,21.394110192,15.436071384,20.052686688,18.081639288,20.094656472
"22-Sep-20",12.979262352,11.426538,8.877237792,1.495219224,4.15126776,8.01674508,7.525502448,2.624739648,2.674999248,9.850866792,3.364664544,0.72909648,5.535659544,9.311812872,1.847666328,4.639564272,9.504900456,6.02632284
"23-Sep-20",1.434712536,0.963897864,1.338724416,0.595287816,0.429991464,0.822329352,0.71067984,0.543532368,0.720689448,0.442225272,0.510563544,0.192880392,0.53653644,0.6612258,0.614700528,0.317546976,1.404597408,0.36045264
"24-Sep-20",4.445034744,5.72746968,2.718132384,6.14285088,4.40071356,3.722525232,4.505077608,8.743721712,9.296671632,5.81304216,1.980036552,3.024111264,5.832410928,5.599027632,1.976626752,4.10185932,3.609821328,5.365204104
"25-Sep-20",0.36385668,0.074359728,1.17578808,4.680526608,1.430313264,0.960192024,0.129592368,0.331128144,0.499959792,0.166315944,3.88058316,6.259298088,0.168642144,0.10132632,5.079672576,1.237385448,0.894796272,0.520528704
"26-Sep-20",2.741251776,2.677010352,0.97200672,5.331038112,8.58700632,12.140178672,3.251847624,1.4839578,1.474249272,2.314526616,3.28888356,5.301513432,4.729644648,1.283172,4.047933696,4.251069912,2.385986928,2.706472632
"27-Sep-20",7.90441776,20.098242768,2.664039912,1.931974944,4.398658992,2.02840572,10.180950168,8.861262552,9.080189472,18.967113024,10.579640856,3.887970336,9.626874456,16.774196136,8.121922728,12.161408904,3.719223624,11.249995704
"28-Sep-20",3.782387496,6.540823464,1.981652136,0,10.45059228,0,3.502366296,4.463396784,8.546600112,7.36733652,3.783605208,0,3.723106032,12.048209664,4.415688168,6.131549112,0.72377292,7.81573248
"29-Sep-20",21.47234916,19.576043136,20.573975088,12.922834392,16.241440776,18.7377534,17.386919976,12.974109648,14.93944788,15.345640176,15.031358232,11.281000608,16.514685624,19.24579668,13.842674736,17.602868568,20.726557728,18.663878928
"30-Sep-20",23.28600024,26.616989136,22.479851256,17.162049288,23.151424896,24.87803364,30.60251712,20.353760712,17.52345372,30.335998536,16.900879392,14.113600728,46.23745536,23.387317656,16.763709072,22.103264808,23.299923408,21.561417096
"01-Oct-20",4.213060488,4.46034372,6.027322056,0,0.572239152,4.022056824,6.620038752,4.138576272,2.1912564,4.176240216,1.96141308,6.630743256,3.656243928,2.98975896,0,1.25089932,5.002479672,1.252191792
"02-Oct-20",0.11385144,0.813508536,0.858718704,1.74507684,1.924782864,1.105335912,1.877405232,1.495357896,0.19944828,0.760550208,0.844457112,2.212871976,1.594819128,0.665429184,2.406619368,1.857716928,1.269337704,1.695039864
"03-Oct-20",1.50326388,1.98945468,1.815792384,2.48488908,2.538022584,2.557298544,1.884163152,3.473546136,1.77168024,2.47778196,1.190299368,1.373973552,2.47053588,2.387092704,1.845621576,1.845366768,1.839472344,0.975817848
"04-Oct-20",11.478923328,10.21607136,6.914385792,6.751652952,9.942590472,7.972987896,10.296712152,7.599003552,8.474652528,10.02413892,11.510166408,9.355594392,9.85467552,8.193665736,9.884277096,10.483851672,10.132773408,10.587357048
"05-Oct-20",10.397336472,10.177383888,15.031409736,5.550142056,8.46861864,13.493200776,9.991995336,3.580164312,4.132984392,8.596264608,4.622397072,2.2645914,7.05093312,7.117717992,4.757215608,8.446651704,11.259292608,7.966636416
"06-Oct-20",0.07736748,0.570822576,0.068094888,0.042493992,0.064502064,0.074038608,1.381667376,0,0.121456992,0.367364592,0.040239888,0,0.768959016,0.369015912,0.039153984,0.066114456,0.07186188,0.063047856
"07-Oct-20",22.21267032,21.888525,23.119111056,17.801509392,20.850554472,22.199924472,21.205389984,17.486802576,17.557158,20.20348836,17.680701264,16.589708808,20.047998912,20.453264232,18.003374568,20.659678464,22.475222112,20.822224608
"08-Oct-20",0,0.070260864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"09-Oct-20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10-Oct-20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11-Oct-20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12-Oct-20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13-Oct-20",0.025259688,0.033798744,0,0,0,0,0.317143896,1.401021648,0.314583144,0.056296656,0.151660944,0,0.320107248,0.306536688,0.01052028,0,0,0.104745864
"14-Oct-20",4.364941488,4.209692352,5.91961812,9.726563928,7.961608896,6.41556144,3.1553532,4.613201016,5.215418112,3.011895768,6.853647,10.659695856,3.958453776,4.541186208,9.294175392,7.371241104,5.553111072,6.941413872
"15-Oct-20",8.661967992,7.468812696,13.970224848,10.052098272,5.733860496,8.568866016,7.00899768,5.733849048,4.694534904,8.591284272,5.68831872,2.849161872,3.923055768,6.34200168,5.752006176,7.306092744,10.332812544,5.66080356
"16-Oct-20",1.952950368,6.63262152,5.634989976,8.75791956,2.48626704,3.499981296,9.039285432,6.674881704,5.092040784,11.332148544,4.23546804,1.770633984,8.675506344,6.751389744,1.953530976,3.00720156,4.072362192,3.414702768
"17-Oct-20",2.47359144,2.963235504,4.368135096,3.253508448,3.638714064,3.82213248,4.016261808,2.846878776,2.964789936,4.022849328,3.077717184,2.466694944,3.818074464,2.611074504,3.583443768,3.652978056,3.354039072,2.970436344
"18-Oct-20",12.969110016,16.099644192,11.51931024,4.178697456,4.875936264,7.129930248,15.906583776,8.929868448,10.73991108,14.371715064,6.258408312,1.28755224,14.82008172,12.2564106,3.634726176,5.148333552,9.72260784,8.99004864
"19-Oct-20",2.44743972,1.95433152,3.724677792,3.460178016,4.745764008,4.51103712,3.492501144,2.362768464,1.733477184,4.03982412,2.262549336,3.011978376,3.563923368,4.935187704,1.851206664,2.386330248,4.423664688,2.421798168
"20-Oct-20",0,0,0,0.125470992,0.10233732,0.030245232,0,0,0.45834432,0.011137536,0,0.485676,0,0.066219432,0.202948752,0.9318948,0,0.071737968
"21-Oct-20",3.559884312,5.39500308,4.672041168,1.867843512,3.089708448,3.741392256,9.294791928,2.075392296,2.46359664,2.360281344,2.203202064,1.023600072,5.0708034,3.291207072,1.862035104,2.39410776,3.270409224,3.419093736
"22-Oct-20",24.729932784,26.775209424,22.692669864,21.591739656,22.8698244,22.39749528,25.835268984,20.57188512,20.810305584,25.182818424,21.103491792,18.95121432,24.5701704,24.920342448,21.30339288,24.213068952,24.569077488,29.041474344
"23-Oct-20",1.797331272,2.831009208,0.629398896,2.390354088,0.800518416,0.678700704,4.079889888,4.530892608,6.089051496,4.98457896,3.267259248,3.308181528,4.249872912,3.002401464,2.621187336,1.749872448,1.331878776,2.137000512
"24-Oct-20",0.490131264,0.372386712,0.492066936,0,0.386171808,0.4604466,0.660964704,0.101905368,0.711516552,0.583097088,0,0,0.216767256,0.22772436,0,0.36763008,0.444395856,0.291348216
"25-Oct-20",2.937742704,3.182192808,7.379501592,4.724215152,6.302919384,7.483654968,2.257793952,0.786599904,0.972517752,0.882592848,2.40357792,0.610577088,1.699956168,2.095519416,2.918853168,5.07668208,6.749810448,2.459710656
"26-Oct-20",1.47529032,0.363301848,0.148944408,0,0,0,0.442367208,0.013021416,0.03827496,0,0.3671082,0.549800688,0,0.406859592,0.151218888,0.211963272,0.824100576,1.174729488
"27-Oct-20",7.260058872,8.25283956,4.108942872,3.839536776,4.767676584,5.274908064,11.532477384,6.590744736,5.257788768,3.745208856,3.574093224,1.964256216,8.889088152,6.660197496,2.829852096,4.90903152,6.825311424,6.222256416
"28-Oct-20",15.076356408,15.735298632,13.917456144,6.669279816,9.262679808,12.674155704,16.788445464,15.53803968,13.155697344,22.043568144,12.270712848,8.642707584,16.554609768,15.323435784,9.979795944,12.170815944,14.420200824,13.89045096
"29-Oct-20",0.622228776,0.612904032,0.898118904,0.737401224,0.7687296,0.66181308,0.927224016,0.466725648,0.539237256,0.371155224,0.296260584,0.497251368,0.571217592,0.651675048,0.387484824,0.553272576,0.682859304,0.5712132
"30-Oct-20",7.766694552,8.19241548,6.731555712,16.730132112,15.467205048,11.276906496,8.29812312,15.28258752,10.304903976,21.009387024,9.67403484,12.11647368,16.472670072,9.133395912,14.64489984,15.8155074,11.358815424,10.324380408
"31-Oct-20",34.003798488,33.788240424,35.383981704,27.444820416,29.594962128,33.319865232,34.085386272,24.067574496,29.28936768,26.871980664,29.979203232,28.335900312,30.890925408,33.024527544,28.018074984,30.008477208,33.595739376,31.687631616
"01-Nov-20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"02-Nov-20",0.24961464,0.113252208,0.864419736,0.785807928,0.32956584,0.072162432,0.045768408,0.986976912,0.8127594,0.207078528,1.23887952,0.101778312,0.21823308,0.33512508,1.148872104,1.454667624,1.678432872,0.946484232
