"date","Pixel15630523","Pixel15630521","Pixel15630522","Pixel15600520","Pixel15720522","Pixel15690524","Pixel15690523","Pixel15720523","Pixel15690522","Pixel15690520","Pixel15690521","Pixel15660519","Pixel15690519","Pixel15660522","Pixel15660521","Pixel15660524","Pixel15660523","Pixel15630520","Pixel15660520","Pixel15630519","Pixel15720521","Pixel15720520"
"08-Nov-20",14.830996512,17.33834124,19.320300576,13.033714776,9.508571856,9.276396984,13.662006864,9.397079232,16.225653648,10.145851128,10.889920224,10.826833248,10.050272952,16.55720616,13.594820016,12.642329688,15.350347992,11.18081976,11.614385616,10.303369056,10.509314064,8.706228744
"09-Nov-20",4.851257448,3.65270412,5.14765656,2.110673016,6.97370124,5.536823976,4.699434048,6.883466712,6.086634624,2.145768096,4.610300304,1.45137156,1.819279968,3.620421048,4.446676608,4.079421768,3.91861404,2.152708944,2.142804792,1.71891636,3.428524368,1.710285552
"10-Nov-20",5.346901416,3.078795792,4.842808488,0.989081928,6.0677898,4.38032412,4.561462272,6.254758368,5.388365856,3.370866528,4.259695176,2.212650408,3.5037192,4.543760064,2.871525048,3.395509248,5.456615208,2.22400992,2.342830008,1.37085396,4.063025232,4.535287152
"11-Nov-20",9.220973256,13.226340288,11.197167624,2.848716984,3.601955304,7.173988584,3.29959308,3.248985888,3.085279584,5.867485632,5.202410448,6.292258512,5.041416408,12.901834488,14.836894512,8.65611792,8.807480328,4.944034344,6.64186908,5.21130288,5.946999552,4.081396224
"12-Nov-20",1.928058216,3.016142976,2.078007648,3.223434816,1.569902304,1.348269144,1.519994088,1.52609772,1.823588496,2.638485792,2.936178456,3.891571272,3.032740464,2.674822392,2.955201216,1.488971376,1.816968792,4.907530536,3.346338264,4.648947,1.784937312,1.92418044
"13-Nov-20",1.823987064,1.88065248,2.007128304,1.789720056,1.39883352,1.041304536,1.627891128,1.484868312,1.56121176,1.358668944,0.32625072,1.048743552,2.0552904,1.307216328,1.483008552,1.466249496,1.339869168,1.203425904,0.838759488,0.139285584,2.060112288,2.286967104
"14-Nov-20",0.17906808,0,0,0.05932416,0.054823392,0.011558544,0.034780272,0.066295632,0.0233808,0.097011144,0.29491512,0.017459592,0.05046216,0,0,0.020570856,0,0.013372272,0.11094972,0.491597592,0.042410952,0.06327612
"15-Nov-20",1.716082512,1.532660544,1.782998448,0.91548756,1.332955872,1.893130296,1.92842388,1.500754056,1.656000864,0.95818188,1.309507992,0.56720844,0.443001384,1.704637344,1.386179736,1.88202864,1.992361848,0.971703432,1.005717792,0.674583624,1.15404144,0.80893116
"16-Nov-20",0.658851696,0.759422064,0.686642112,1.096225536,0.237208944,0.245425824,0.34060296,0.2498328,0.396130344,0.843743832,0.809883096,0.958485864,0.87706644,0.553364256,0.579635784,0.375253464,0.516588888,0.881999832,0.638744424,0.68092056,0.823964688,1.006261032
"17-Nov-20",0,0,0,0,0,0.12520164,0.033379032,0,0.074529696,0,0,0,0,0,0.863291496,0.124651032,0.022988112,0,0,0,0,0
"18-Nov-20",0.038012568,0,0,0,0.048747336,0.128660112,0.052493928,0,0,0,0.065102904,0,0,0,0,0.147865128,0.164501208,0,0,0,0.023881344,0
"19-Nov-20",0.945855528,0.991296,1.00661544,0.882375072,1.080705816,0.945359328,1.047893832,1.07185812,1.109369064,1.263963816,1.13318484,1.198937136,1.216937016,1.0605534,1.07908836,0.697904832,1.072610832,1.27029624,1.332624792,1.103851584,1.01997372,1.07094768
"20-Nov-20",1.372407864,1.780357896,2.137500648,0.850252752,2.707545528,2.1334902,1.95974976,2.912301432,2.091478776,2.930328912,2.359193448,2.36939496,2.681874624,2.398801992,2.339947872,2.084123256,1.995706032,1.875863496,2.448631344,1.523281752,3.2240256,3.904288896
"21-Nov-20",1.30550148,0.458375616,0.438221016,0.4739496,0.283102032,1.175874264,0.870241368,0.356887632,0.548327784,0.121415352,0.310034184,0.331032432,0.130654584,0.548771784,0.44819412,1.4619054,1.038921216,0.579531792,0.232898112,0.985420704,0.169792512,0.038272104
"22-Nov-20",0,1.039688328,0,0.476450976,4.140464904,4.634905464,0.979343808,0.969709848,4.361080536,1.096624992,2.286560832,1.2294294,1.476752664,3.380383008,1.096040808,0,1.24304124,0.424153488,2.755901088,0.939275544,2.047350696,1.440245304
"23-Nov-20",1.59475476,1.88718348,1.448708208,3.025429128,3.548782464,3.464013216,2.831776848,3.499134072,2.200182264,2.942352888,1.91634948,3.42854904,2.048891184,1.295616024,1.675831128,2.49035256,2.041725744,3.95200788,3.37874616,3.7956258,2.564672832,2.555190336
"24-Nov-20",1.904024904,1.778264352,1.815054048,1.037441784,0.743391168,1.1276502,1.619586648,0.980555448,1.55766516,2.235193128,2.197431216,2.408228688,2.498759688,2.1279096,2.274146856,1.629378144,1.917216192,1.928463936,2.327578416,1.996310952,1.846096344,3.390133392
"25-Nov-20",7.553597688,5.377775424,6.156374928,8.951344728,6.371805672,7.399359216,5.608913904,7.096666584,5.398773912,7.337634792,7.673257104,7.019197224,6.585596328,5.296292064,7.134633768,6.741872544,5.135649912,8.23720908,8.145170688,8.4867282,6.39253236,6.860460528
"26-Nov-20",0.157378368,0.127409232,0.108501768,0.043935168,1.652341968,1.232276472,1.546716384,1.681994328,1.456467312,0.89347368,0.827133456,0.5965062,0.883858056,0.771311928,0.48470736,0.642847128,0.645331944,0.117729744,0.391840464,0.172048248,1.544906784,1.974210432
"27-Nov-20",10.669803144,7.964731704,8.375345712,5.41725396,7.453102824,7.48333812,12.55781508,7.6727178,9.328744416,10.294729464,9.524519208,9.180323112,11.16873192,11.07388116,8.461828704,8.416395672,11.645030016,8.03150868,10.007905488,7.303495656,9.24274992,10.555356504
"28-Nov-20",11.708178528,18.141250128,20.00979996,6.484373328,9.145722624,5.541384816,7.71763872,8.329085832,9.43922352,10.910616168,12.304085256,9.896626704,11.1703806,18.972830784,17.93432952,9.131256576,11.173135752,9.49827504,13.175707344,10.021476024,10.197918888,9.36692976
"29-Nov-20",9.455589672,13.29001236,13.746052632,6.298176528,7.027477032,6.316379256,7.538848752,7.039435752,8.263944624,9.096332088,10.964373,10.088339568,8.962781328,13.514216784,13.474487904,7.060275984,8.446942104,8.917284264,11.201683056,9.367444392,8.539432896,8.475378168
"30-Nov-20",7.203000792,8.438774592,7.48230528,6.111979728,4.909231416,7.091373672,7.360058784,5.749785672,7.088665728,7.282047984,9.62466072,10.280052432,6.755182032,8.055602784,9.014646288,4.989295368,5.720748432,8.336293464,9.227658744,8.71341276,6.88094688,7.583826552
"01-Dec-20",0.842559984,0.438906096,0.389903832,0,0.81750852,0.912603456,0.624370416,1.39959312,3.073970328,0.574658712,0.455164488,1.309215096,0.961024848,0.692399112,0.760781328,1.918810296,1.150074624,1.069414704,1.549935768,1.911522576,0.66106788,0.649634064
"02-Dec-20",24.312469488,23.869620312,24.712878216,29.440109256,33.592775352,27.24604512,27.536690712,28.233109464,30.59311008,38.009224896,28.343945496,31.601603496,28.625298504,25.695161808,25.999154088,26.225220672,24.968642232,42.114858624,35.839502328,23.686657896,34.04541492,32.892614376
"03-Dec-20",16.842225552,14.420163624,17.954802984,13.846748832,15.8834982,10.809486864,14.576499936,19.87094592,10.768557072,18.235952856,14.143977648,10.023713352,11.002704624,12.433566576,12.536783688,11.836491816,10.6260624,15.584906112,14.142860424,8.214532608,15.168454176,20.419159416
"04-Dec-20",3.378464688,4.043548824,3.821797728,2.72566152,1.119028776,3.905421144,2.308363608,0.515325576,2.568835248,1.622895072,2.144511768,3.116593488,2.829660048,4.377043968,4.02770484,3.676306128,3.205130688,4.955374008,3.629918568,5.425136088,0.49743288,0.902462568
"05-Dec-20",0.1955742,0.857439192,0.31878612,0.503773296,4.60268712,1.932188448,2.121798816,4.441100472,2.626829976,1.165758576,1.97250312,0.677086776,0.492987192,1.352214936,1.233352848,0.4319682,0.633143496,0.70235928,1.074333888,0.396996696,2.021668728,1.158034992
"06-Dec-20",31.356754296,25.104532248,28.313735952,23.557541376,22.402894032,27.006039624,25.9377966,23.258955,24.679347048,21.321536064,24.54639816,20.410520544,19.652758608,28.035813336,26.10155868,27.45807552,28.107376104,22.707279672,21.753132816,20.505429264,24.034486776,20.685005664
"07-Dec-20",5.06425488,4.567180392,4.325494056,4.919575104,3.117644184,3.53941548,2.827567944,4.437796344,3.560302008,3.496024848,3.319923528,2.997776976,3.61009992,3.28879524,3.751619328,3.83571732,2.924589864,3.616962072,3.202789296,3.945951816,4.795951008,3.672453048
"08-Dec-20",0,0.012482568,0.06279672,0.083768856,0.628869648,0.999497928,0.262115616,1.081508616,0.677716704,0.755746272,0.717396936,0.613227816,1.26942828,0.314370888,0.394138584,0.187418688,0.487916928,0.074654544,0.28212336,0.834668856,0.72469368,1.079072976
"09-Dec-20",0.23046036,3.557049048,4.599762792,0.908769696,0.294950304,0.776104056,0.586893312,0.329016072,0.786446928,2.320128864,1.685947536,0.969887136,2.947931352,0.914523384,2.68400412,1.187921232,0.864813384,0.531206184,1.9409718,0.784216752,0.549560184,0.894117144
"10-Dec-20",2.75553828,6.34905696,4.447231656,6.742608552,3.928484208,1.948922928,2.840118168,2.574329664,4.466825376,5.676219456,5.474673984,5.639211408,5.53014708,4.740302688,5.942259552,1.278144024,2.521848504,6.229104288,6.043776504,5.525494344,4.398116832,5.237313864
"11-Dec-20",4.534460304,1.7049864,3.476796264,1.579097808,4.369892832,5.562550296,5.002433544,5.515417824,3.54062856,1.886398128,2.398094232,1.86863976,1.918784736,3.420814632,2.196180048,5.411820888,4.485720288,1.808562936,1.749782328,2.177882544,3.53380716,2.502318432
"12-Dec-20",2.029055904,0.78651408,1.182658368,1.927128192,2.031903864,3.919285656,2.930343216,3.569855328,1.865987232,3.678151488,1.984917816,1.609255488,0.61669788,0.728869368,0.604340232,3.452293752,2.241781176,1.880573088,1.941263616,1.685549136,2.741507832,2.712905472
"13-Dec-20",1.536929184,2.485674072,1.991651064,2.472555048,1.130610192,0.048102624,0.604517616,0.243169584,1.391332272,2.559090624,1.70355768,2.818783512,3.572772144,2.461655448,2.89613844,0.16682964,1.10747892,2.432994792,2.337451272,2.276255976,0.727887336,2.47331376
"14-Dec-20",19.075530048,18.150983328,18.910101408,11.462588304,22.709833152,24.095984448,22.636985784,23.054790984,23.086804392,21.217779648,21.437979696,18.368205072,19.199256432,21.355125912,20.9242344,21.7274952,22.041965952,17.043614376,19.377293592,15.66598464,21.841744416,21.040333272
"15-Dec-20",0,0,0,0.112919736,0,0,0,0,0,0,0,0.040193712,0.254065056,0,0,0,0,0,0,0,0,0.012677472
"16-Dec-20",0.972455712,1.33481196,1.07729664,1.513936752,1.928192496,1.34105892,1.699931328,1.615618416,1.900397664,2.231207544,2.001032712,2.2212714,2.286083568,1.63336872,1.79547768,1.414289112,1.379525448,1.773926136,2.144835408,2.184894384,1.89494508,2.08663452
"17-Dec-20",0,0,0,0,0,0,0,0,0,0,0,0,0.017269248,0,0,0,0,0,0,0,0.029973024,0.050318616
"18-Dec-20",45.440351496,41.223976128,45.214101792,30.478056912,46.751492496,45.709482192,46.56724548,47.132592192,46.298400888,36.043187136,43.017740256,32.991717336,33.6554346,45.948686592,42.575946816,44.655930528,46.130704872,34.832582472,35.230024344,29.755934712,43.435529712,36.337958328
"19-Dec-20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20-Dec-20",3.925266624,18.352847088,7.374611376,4.265411136,7.375722168,6.812674992,4.354196184,3.568474176,2.871296712,2.12471688,3.32510196,4.567765128,3.697305312,6.636337992,4.258401624,8.395011672,4.168069128,7.454368104,5.474394312,6.154405128,4.07928156,15.394084464
"21-Dec-20",0.926199312,0.847613184,0.949261296,0.114252024,1.803670224,1.992563184,1.999005144,1.195743,0.887569152,1.34796264,0.690604176,1.423456368,2.81775696,1.548966576,1.314854544,1.10803476,1.715282496,0.707321232,2.992025256,1.948146168,1.464425328,1.530634224
"22-Dec-20",20.613146784,18.56297064,20.804230224,15.293787,21.196041576,23.31257916,24.202048296,22.809010512,22.918222896,19.267852296,22.513016232,18.887064456,17.236546032,20.733643056,19.895911224,22.706522952,22.0461588,17.960864064,19.801390176,14.818137648,21.745182048,18.774333
"23-Dec-20",5.001618864,4.727333304,4.868835576,4.112836728,5.169693936,5.51670276,5.29917384,6.189705144,4.018849248,4.083303816,3.916094184,3.859607928,4.246779096,4.52713896,4.606119984,5.048627616,4.858421448,4.235562096,4.271099208,4.018265952,4.700698608,3.517257576
"24-Dec-20",43.46813964,38.47793484,42.751316064,30.110678664,40.799843784,41.869992264,41.809576032,40.778074272,41.747777928,30.692564976,38.190954216,27.34632396,27.173518176,45.562528608,38.485101696,43.025447856,42.96814728,30.79759884,30.708377832,26.906922336,37.664408688,30.384409896
"25-Dec-20",1.613874432,1.788280776,1.876897032,0.794903496,2.06762016,1.610465712,1.751767704,2.53878432,1.795118448,2.403335448,2.025430272,2.578045608,3.036612144,1.398105744,2.180261664,1.246554768,1.866951576,2.527625808,2.548730856,2.008486392,3.251677392,3.958247784
"26-Dec-20",0.309757752,0.209056872,0.174380064,0.316769592,0.0287676,0.254495112,0.116987496,0.108145128,0.052613424,0.013502832,0.015284664,0,0,0.068431632,0.022157664,0.13911828,0.116278704,0.351581808,0.028508928,0.015061488,0,0
"27-Dec-20",20.314516056,21.050969112,20.350882536,20.315531736,20.516492832,21.11513328,21.376313208,20.96193696,20.83267308,21.411921504,21.162745008,21.414813984,20.748079776,21.126902112,21.36108684,20.57973576,20.644206048,20.560518264,21.148781784,21.309376728,20.980616568,21.351578232
"28-Dec-20",0.0634986,0.166017624,0.162118416,0.105622728,0.20841708,0.307519392,0.153155592,0.20906376,0.221010912,0.41552832,0.281094552,0.295660224,0.188172696,0.375412752,0.516285408,0.1225068,0.109846152,0.280881576,0.508402848,0.451040544,0.167833896,0.160917408
"29-Dec-20",0.18673296,0.225966528,0.169751376,2.589357384,0.071691432,0.124187568,0.42015288,0.106167792,0.153440928,0.885810888,0.871346256,1.618655016,0.384913752,0.117030552,0.135457968,0.177963096,0.270818328,0.193103688,0.215949984,0.843371088,0.120010416,2.683502544
"30-Dec-20",0.37095216,0.344212536,0.38385072,1.205165784,0.596469768,0.415766088,0.337020432,0.26117856,0.346969224,0.552816288,0.64004136,0.90479832,0.52123524,0.351004752,0.999868776,0.350153952,0.269219688,0.652689552,0.71574528,0.891946248,0.735229392,0.465814632
"31-Dec-20",5.033656248,3.755170944,3.23715948,0.892327224,1.143686688,1.149712968,3.021687624,2.54168988,3.478868376,1.642584624,2.913760176,0.73056588,0.641979216,3.541403544,2.951483496,2.908063176,6.15218496,3.780414456,0.869822688,2.655427344,1.625500728,1.104221736
"01-Jan-21",7.330024488,24.94046688,16.7935152,15.817477224,9.194021712,9.762008424,8.396337744,6.889635792,10.504202832,8.768481024,10.04311968,10.427721264,9.635672808,9.567805056,13.193319792,6.547749288,7.975685832,11.452648392,10.02164484,14.227502352,11.420521248,9.584456928
"02-Jan-21",8.119871376,5.509064208,7.492088568,5.819027424,10.6960044,10.961990832,10.528756152,10.3928976,10.005844128,8.227537392,8.91279744,8.316864264,7.414291632,9.570173976,6.762250176,10.58313132,9.69885492,6.980672112,7.18942524,7.521984096,9.577656984,9.118153104
"03-Jan-21",2.934637776,3.478704936,3.055676568,3.02415312,3.249311688,3.275357376,3.111564168,3.338385336,3.516268008,4.706570496,4.170691248,2.71037544,3.87591612,3.215453976,3.387495168,2.81854104,3.035590776,3.5662254,3.86173296,3.621420264,3.572073336,4.618005384
"04-Jan-21",0.2182398,0.588679512,0.515749008,1.614335232,3.73174488,3.006353976,3.656227464,4.190294616,2.542560168,0.977232192,1.395533952,0.19717812,0.2953752,0.828703608,0.273283368,1.30580664,0.585547056,0.146361216,0.602922984,0.597966048,2.620756752,10.30877136
"05-Jan-21",5.15380776,5.437906992,3.935320248,3.649642824,0.766963632,3.9221964,2.44492812,2.215407552,2.178065832,4.575070032,3.236912016,4.758721584,4.670560968,5.030088912,4.828628184,5.166187416,4.760485416,5.891664504,5.937317856,4.320391416,2.858680128,5.423327568
"06-Jan-21",1.011758376,0.935768088,0.979874712,3.962729568,1.296630888,0.352986456,0.237730248,0.57386868,0.277955568,3.450920472,0.914521872,5.103280656,5.39625228,0.479783088,0.914996544,1.188593208,0.877480296,6.730582944,2.750250576,16.565480232,1.408324776,4.937044848
